ID#Token#No. of document#Count#POS
1# объектив #1#1#NOUN
2# универсальный #1#1#ADJF
3# тип #1#1#NOUN
4# под #1#1#PREP
5# система #1#1#NOUN
6# nikon #1#2#LATN
7# с #1#1#PREP
8# матрица #1#1#NOUN
9# apsc #1#1#LATN
10# иметь #1#1#INFN
11# неплохой #1#1#ADJF
12# диапазон #1#1#NOUN
13# фокусный #1#1#ADJF
14# расстояние #1#1#NOUN
15# мм #1#1#INTJ
16# светосила #1#1#NOUN
17# составлять #1#1#INFN
18# от #1#1#PREP
19# до #1#1#PREP
20# автофокусировка #1#1#NOUN
21# у #1#1#PREP
23# mm #1#1#ROMN
24# обеспечиваться #1#1#INFN
25# ультразвуковой #1#1#ADJF
26# привод #1#1#NOUN
27# дополнительно #1#1#ADVB
28# предусматривать #1#1#INFN
29# стабилизатор #1#1#NOUN
30# изображение #1#1#NOUN
31# мочь #1#1#NOUN
32# послужить #1#1#INFN
33# хороший #1#1#ADJF
34# решение #1#1#NOUN
35# для #1#1#PREP
36# съемка #1#1#NOUN
37# широкий #1#1#ADJF
38# спектр #1#1#NOUN
39# сюжет #1#1#NOUN
40# canon #2#2#LATN
41# ef #2#1#LATN
42# mm #2#1#ROMN
43# объектив #2#2#NOUN
44# универсальный #2#1#ADJF
45# назначение #2#1#NOUN
46# за #2#1#PREP
47# счет #2#1#NOUN
48# хороший #2#1#ADJF
49# диапазон #2#1#NOUN
50# фокусный #2#2#ADJF
51# расстояние #2#2#NOUN
52# мм #2#1#INTJ
53# подходить #2#1#INFN
54# и #2#4#CONJ
55# для #2#2#PREP
56# широкоугольный #2#1#ADJF
57# съемка #2#1#NOUN
60# приближение #2#1#NOUN
61# объект #2#1#NOUN
62# к #2#1#PREP
63# то #2#1#CONJ
64# же #2#1#PRCL
65# он #2#1#NPRO
66# оснащать #2#1#INFN
67# стабилизатор #2#1#NOUN
68# изображение #2#1#NOUN
70# заявлять #2#1#INFN
71# производитель #2#1#NOUN
72# как #2#1#CONJ
73# пыл #2#1#NOUN
75# влагонепроницаемый #2#1#ADJF
76# значение #2#1#NOUN
77# светосила #2#1#NOUN
78# постоянно #2#1#ADVB
79# на #2#2#PREP
80# весь #2#1#ADJF
84# рассчитать #2#1#INFN
86# система #2#1#NOUN
88# с #2#1#PREP
89# матрица #2#1#NOUN
90# full #2#1#LATN
91# frame #2#1#LATN
92# продвигать #3#1#INFN
93# универсал #3#1#NOUN
94# при #3#1#PREP
95# диапазон #3#1#NOUN
96# фокусный #3#1#ADJF
97# расстояние #3#1#NOUN
98# мм #3#1#INTJ
99# иметь #3#2#INFN
100# неизменный #3#1#ADJF
101# светосила #3#1#NOUN
102# f #3#1#LATN
103# применяться #3#1#INFN
104# для #3#2#PREP
105# система #3#1#NOUN
106# canon #3#1#LATN
107# с #3#1#PREP
108# байонет #3#1#NOUN
109# ef #3#1#LATN
110# и #3#1#CONJ
111# матрица #3#1#NOUN
112# full #3#1#LATN
113# frame #3#1#LATN
114# конструкция #3#1#NOUN
115# включать #3#1#INFN
116# элемент #3#1#NOUN
117# в #3#1#PREP
118# группа #3#1#NOUN
119# а #3#1#CONJ
121# автофокусировка #3#1#NOUN
122# использоваться #3#1#INFN
123# ультразвуковой #3#1#ADJF
124# мотор #3#1#NOUN
125# диафрагма #3#1#NOUN
126# правда #3#1#PRCL
128# всего #3#1#ADVB
129# лепесток #3#1#NOUN
130# специализированный #4#1#PRTF
131# фиксобъектив #4#1#NOUN
132# для #4#1#PREP
133# макросъемка #4#1#NOUN
134# рассчитать #4#1#INFN
135# на #4#2#PREP
136# система #4#1#NOUN
137# canon #4#1#LATN
138# с #4#2#PREP
139# байонет #4#1#NOUN
140# ef #4#1#LATN
141# и #4#2#CONJ
142# матрица #4#1#NOUN
143# full #4#1#LATN
144# frame #4#1#LATN
145# иметь #4#1#INFN
146# фокусный #4#1#ADJF
147# расстояние #4#1#NOUN
148# мм #4#1#INTJ
149# минимальный #4#2#ADJF
150# дистанция #4#1#NOUN
151# фокусировка #4#1#NOUN
152# м #4#1#NOUN
154# обеспечивать #4#2#INFN
155# увеличение #4#1#NOUN
156# макро #4#1#NOUN
158# уровень #4#1#NOUN
159# оснащать #4#1#INFN
160# стабилизатор #4#1#NOUN
161# изображение #4#1#NOUN
162# автофокусировка #4#1#NOUN
164# ультразвуковой #4#1#ADJF
165# мотор #4#1#NOUN
166# диафрагма #4#1#NOUN
167# лепестковый #4#1#ADJF
170# значение #4#1#NOUN
171# широкоугольный #5#1#ADJF
172# объектив #5#1#NOUN
173# под #5#1#PREP
174# система #5#1#NOUN
175# canon #5#1#LATN
176# с #5#2#PREP
177# байонет #5#1#NOUN
178# ef #5#1#LATN
179# и #5#1#CONJ
180# матрица #5#1#NOUN
181# full #5#1#LATN
182# frame #5#1#LATN
183# иметь #5#1#INFN
184# неизменный #5#1#ADJF
185# светосила #5#1#NOUN
186# в #5#1#PREP
187# f #5#1#LATN
188# на #5#1#PREP
189# весь #5#1#ADJF
190# диапазон #5#1#NOUN
191# фокусный #5#1#ADJF
192# расстояние #5#1#NOUN
193# который #5#1#ADJF
194# составлять #5#1#INFN
195# мм #5#1#INTJ
196# автофокусировка #5#1#NOUN
197# осуществляться #5#1#INFN
198# ультразвуковой #5#1#ADJF
199# мотор #5#1#NOUN
200# диафрагма #5#1#NOUN
201# лепестковый #5#1#ADJF
203# минимальный #5#1#ADJF
204# значение #5#1#NOUN
205# универсальный #6#1#ADJF
206# объектив #6#1#NOUN
207# с #6#3#PREP
208# уклон #6#1#NOUN
209# в #6#2#PREP
210# сторона #6#1#NOUN
211# широкоугольный #6#1#ADJF
212# съемка #6#1#NOUN
213# иметь #6#1#INFN
214# минимальный #6#2#ADJF
215# фокусный #6#1#ADJF
216# расстояние #6#1#NOUN
218# мм #6#2#INTJ
219# максимальный #6#1#ADJF
221# предназначать #6#1#INFN
