Term#Текст_1#Текст_2#Текст_3#Текст_4#Текст_5#Текст_6#Текст_7#Текст_8#Текст_9#Текст_10#Текст_11#Текст_12#Текст_13#Текст_14#Текст_15#Текст_16#Текст_17#Текст_18#Текст_19#Текст_20#Текст_21#Текст_22#Текст_23#Текст_24
 прототип #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#1#0#0
 аналогичный #0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 освоение #1#1#1#0#0#1#0#1#1#0#0#0#0#0#0#1#0#0#1#0#0#0#1#0
 экипаж #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#2
 широкий #0#0#0#0#0#0#0#0#1#0#0#0#0#0#2#0#0#0#1#0#0#0#0#0
 обозначать #0#0#0#0#0#0#2#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 посадка #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#3#0#0#1#0#1#1#0
 крепиться #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0
 заявлять #0#0#0#1#0#3#0#1#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 массивный #0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0
 месяц #0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0
 нобелевский #0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0
 малый #0#0#0#0#0#0#0#0#0#0#0#2#0#0#1#0#0#0#0#0#0#0#0#0
 исследовательский #0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#1#1#0#0
 вид #0#0#0#0#1#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 университет #1#1#0#0#0#1#1#1#1#0#0#0#0#1#0#1#0#0#0#0#0#0#0#0
 нибудь #0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 различный #0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#1#0#0#0#0#0#0
 доцент #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0
 она #1#0#0#0#2#0#0#2#1#0#0#2#0#0#0#1#1#0#0#0#0#0#0#1
 прилетать #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0
 когда #0#0#0#2#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0
 приводить #0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 референдум #0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0
 необычный #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0
 bbc #0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0
 действительно #1#1#0#0#0#1#1#0#1#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0
 потребность #0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 одновременно #0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 семь #0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#1#0#0#0#0#0#0#0
 экологический #0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#2
 насущный #0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 именно #0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0
 продолжать #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#3#0#0#0#0#0#0
 какой #1#0#1#0#0#0#1#0#1#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0
 к #0#1#0#1#0#1#0#1#1#1#1#1#1#0#1#0#2#1#3#2#2#1#2#1
 роль #0#0#0#0#1#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0
 rusargument #0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 стойкость #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0
 марсоход #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#2#0#0#0#0#0#0#0
 жизнь #0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0
 флора #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1
 неподготовленный #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0
 землянин #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0
 внушительный #0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 человеческий #1#0#1#1#3#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 служба #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0
 время #0#0#0#0#2#0#1#1#1#1#2#0#0#0#2#1#0#0#0#3#0#0#0#0
 тот #0#0#0#0#0#0#1#0#0#0#1#1#2#1#0#0#0#0#0#1#1#2#0#0
 устойчивость #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0
 научно #0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0
 ситуация #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0
 вдали #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0
 первопричина #0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 удивительный #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0
 взлетный #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0
 давать #0#0#0#0#0#0#1#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#1
 рентгеновский #0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0
 принципиально #0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
 знание #0#1#1#0#0#1#0#0#1#1#0#0#0#0#0#1#0#0#0#0#0#0#0#0
 скандал #0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0
 они #0#1#0#0#0#1#0#0#0#0#1#1#0#0#0#1#1#0#1#2#0#0#1#1
 колония #1#1#1#0#0#1#0#0#1#0#0#0#1#0#0#1#0#0#0#0#0#0#1#0
 сша #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#3#3#1#0#1
 прекращение #0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0
 поставлять #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0
 марс #4#4#5#4#7#5#3#4#4#4#1#0#6#0#1#5#3#0#3#4#5#5#4#4
 однажды #0#0#0#1#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0
 уникальный #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#1#1#1#0#0
 июнь #0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0
 при #0#0#1#2#0#0#0#1#0#0#0#1#0#0#1#1#1#0#0#0#0#0#0#0
 специальный #0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#1#0#0#0#0
 стивен #2#3#2#1#0#3#2#2#1#2#0#2#1#2#2#2#0#0#0#0#0#0#0#0
 катастрофа #0#1#1#0#3#1#0#1#1#0#1#1#0#0#0#1#0#0#0#0#0#0#0#1
