term;c1;c2;c3;c4;pwc1;pwc2;pwc3;pwc4;pc1;pc2;pc3;pc4
 fundamental ;0;1;0;0;0.000211864406779661;0.0008435259384226065;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 fdt ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 nodes ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 xa ;1;0;1;0;0.000423728813559322;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 user ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 illustrated ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 evaluate ;2;0;0;0;0.000635593220338983;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 stored ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 mathematics ;0;0;1;1;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.0005780346820809249;21;3;24;9
 depth ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 leader ;2;0;0;0;0.000635593220338983;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 mean ;1;0;4;9;0.000423728813559322;0.00042176296921130323;0.000860141063134354;0.002890173410404624;21;3;24;9
 coefficient ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 represent ;2;2;0;0;0.000635593220338983;0.0012652889076339097;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 previous ;0;0;3;1;0.000211864406779661;0.00042176296921130323;0.0006881128505074832;0.0005780346820809249;21;3;24;9
 cannot ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 mggd ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 c ;3;0;1;0;0.000847457627118644;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 smoothing ;0;0;0;4;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.001445086705202312;21;3;24;9
 numerous ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 years ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 palms ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 ending ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 mining ;4;0;1;0;0.001059322033898305;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 wolfowitz ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 amplitude ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 parameterize ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 light ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 following ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 assisted ;4;0;17;11;0.001059322033898305;0.00042176296921130323;0.0030965078272836744;0.003468208092485549;21;3;24;9
 gestures ;0;4;0;0;0.000211864406779661;0.002108814846056516;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 looked ;0;1;0;0;0.000211864406779661;0.0008435259384226065;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 removes ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 codes ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 pyramidal ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 compensators ;2;0;0;0;0.000635593220338983;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 ancient ;0;0;3;0;0.000211864406779661;0.00042176296921130323;0.0006881128505074832;0.00028901734104046245;21;3;24;9
 expensive ;0;1;1;0;0.000211864406779661;0.0008435259384226065;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 normalized ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 angiography ;0;0;3;0;0.000211864406779661;0.00042176296921130323;0.0006881128505074832;0.00028901734104046245;21;3;24;9
 processing ;2;0;15;6;0.000635593220338983;0.00042176296921130323;0.0027524514020299327;0.002023121387283237;21;3;24;9
 outcome ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 rate ;4;0;2;0;0.001059322033898305;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 trans ;2;0;0;0;0.000635593220338983;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 every ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 get ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 imaging ;0;0;11;7;0.000211864406779661;0.00042176296921130323;0.00206433855152245;0.0023121387283236996;21;3;24;9
